_unit_id	_created_at	_golden	_id	_missed	_started_at	_tainted	_channel	_trust	_worker_id	_country	_region	_city	_ip	comments_box	form_object_and_form_subject_are_related_because	sentence_claim	data_subset	form_object	form_object_and_form_subject_are_related_because_gold	form_subject	formatted_sentence	gold_std_association_type	num_sentence	object_end	object_start	object_text	object_type	original_sentence	pubmed_id	sentence_claim_gold	subject_end	subject_start	subject_text	subject_type
701061959	4/8/2015 02:21:55	false	1607763309		4/8/2015 02:21:23	false	elite	0.7692	30795938	VNM	44	Hanoi	113.190.236.66		worsens_or_causes	uncertain_relation	new	"&quot;<span class=""form_object"">cyclooxygenase</span>&quot;"		"&quot;<span class=""form_subject"">Cardiovascular thromboembolic adverse effects</span>&quot;"	"<div class=""formatted_sentence""><span class=""subject_text"">Cardiovascular thromboembolic adverse effects</span> associated with <span class=""object_text"">cyclooxygenase</span>-2 selective inhibitors and nonselective antiinflammatory drugs.</div>"	false	0	76	62	cyclooxygenase	drug	Cardiovascular thromboembolic adverse effects associated with cyclooxygenase-2 selective inhibitors and nonselective antiinflammatory drugs.	18042885		45	0	Cardiovascular thromboembolic adverse effects	disease
701061959	4/8/2015 02:23:34	false	1607763979		4/8/2015 02:21:27	false	gifthunterclub	0.8667	31775124	ESP			37.133.185.72		worsens_or_causes	definite_relation	new	"&quot;<span class=""form_object"">cyclooxygenase</span>&quot;"		"&quot;<span class=""form_subject"">Cardiovascular thromboembolic adverse effects</span>&quot;"	"<div class=""formatted_sentence""><span class=""subject_text"">Cardiovascular thromboembolic adverse effects</span> associated with <span class=""object_text"">cyclooxygenase</span>-2 selective inhibitors and nonselective antiinflammatory drugs.</div>"	false	0	76	62	cyclooxygenase	drug	Cardiovascular thromboembolic adverse effects associated with cyclooxygenase-2 selective inhibitors and nonselective antiinflammatory drugs.	18042885		45	0	Cardiovascular thromboembolic adverse effects	disease
701061959	4/8/2015 02:24:23	false	1607764409		4/8/2015 02:20:51	false	neodev	0.8	16826314	SWE	26	Enskede	83.250.152.15		other	definite_relation	new	"&quot;<span class=""form_object"">cyclooxygenase</span>&quot;"		"&quot;<span class=""form_subject"">Cardiovascular thromboembolic adverse effects</span>&quot;"	"<div class=""formatted_sentence""><span class=""subject_text"">Cardiovascular thromboembolic adverse effects</span> associated with <span class=""object_text"">cyclooxygenase</span>-2 selective inhibitors and nonselective antiinflammatory drugs.</div>"	false	0	76	62	cyclooxygenase	drug	Cardiovascular thromboembolic adverse effects associated with cyclooxygenase-2 selective inhibitors and nonselective antiinflammatory drugs.	18042885		45	0	Cardiovascular thromboembolic adverse effects	disease
701061959	4/8/2015 02:28:08	false	1607765852		4/8/2015 02:26:04	false	clixsense	0.8667	28720189	ITA	16	Pontedera	87.1.24.92		worsens_or_causes	definite_relation	new	"&quot;<span class=""form_object"">cyclooxygenase</span>&quot;"		"&quot;<span class=""form_subject"">Cardiovascular thromboembolic adverse effects</span>&quot;"	"<div class=""formatted_sentence""><span class=""subject_text"">Cardiovascular thromboembolic adverse effects</span> associated with <span class=""object_text"">cyclooxygenase</span>-2 selective inhibitors and nonselective antiinflammatory drugs.</div>"	false	0	76	62	cyclooxygenase	drug	Cardiovascular thromboembolic adverse effects associated with cyclooxygenase-2 selective inhibitors and nonselective antiinflammatory drugs.	18042885		45	0	Cardiovascular thromboembolic adverse effects	disease
701061960	4/8/2015 02:02:42	true	1607754674		4/8/2015 01:57:06	false	quickrewards	0.8462	20452113	USA	SC	Columbia	98.71.2.230			is_cooccurrence	old	"&quot;<span class=""form_object"">alfentanil</span>&quot;"		"&quot;<span class=""form_subject"">motion sickness</span>&quot;"	"<div class=""formatted_sentence"">The frequency of PONV did not correlate to the amounts of <span class=""object_text"">alfentanil</span>, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or <span class=""subject_text"">motion sickness</span>.</div>"	false	8	68	58	alfentanil	drug	The frequency of PONV did not correlate to the amounts of alfentanil, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or motion sickness.	18037672	is_cooccurrence	195	180	motion sickness	disease
701061960	4/8/2015 02:03:51	true	1607755244		4/8/2015 01:59:39	false	prodege	0.7	1863280	USA	OH	Athens	50.126.228.154			is_cooccurrence	old	"&quot;<span class=""form_object"">alfentanil</span>&quot;"		"&quot;<span class=""form_subject"">motion sickness</span>&quot;"	"<div class=""formatted_sentence"">The frequency of PONV did not correlate to the amounts of <span class=""object_text"">alfentanil</span>, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or <span class=""subject_text"">motion sickness</span>.</div>"	false	8	68	58	alfentanil	drug	The frequency of PONV did not correlate to the amounts of alfentanil, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or motion sickness.	18037672	is_cooccurrence	195	180	motion sickness	disease
701061960	4/8/2015 02:04:49	true	1607755739	true	4/8/2015 02:02:58	false	clixsense	0.8333	25688765	SRB	2	Novi Sad	188.2.91.51			no_relation	old	"&quot;<span class=""form_object"">alfentanil</span>&quot;"		"&quot;<span class=""form_subject"">motion sickness</span>&quot;"	"<div class=""formatted_sentence"">The frequency of PONV did not correlate to the amounts of <span class=""object_text"">alfentanil</span>, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or <span class=""subject_text"">motion sickness</span>.</div>"	false	8	68	58	alfentanil	drug	The frequency of PONV did not correlate to the amounts of alfentanil, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or motion sickness.	18037672	is_cooccurrence	195	180	motion sickness	disease
701061960	4/8/2015 02:11:21	true	1607758587		4/8/2015 01:59:40	false	neodev	0.8	16826314	SWE	26	Enskede	83.250.152.15			is_cooccurrence	old	"&quot;<span class=""form_object"">alfentanil</span>&quot;"		"&quot;<span class=""form_subject"">motion sickness</span>&quot;"	"<div class=""formatted_sentence"">The frequency of PONV did not correlate to the amounts of <span class=""object_text"">alfentanil</span>, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or <span class=""subject_text"">motion sickness</span>.</div>"	false	8	68	58	alfentanil	drug	The frequency of PONV did not correlate to the amounts of alfentanil, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or motion sickness.	18037672	is_cooccurrence	195	180	motion sickness	disease
701061960	4/8/2015 02:12:07	true	1607758954		4/8/2015 02:06:24	false	gifthunterclub	0.8667	31775124	ESP			37.133.185.72			is_cooccurrence	old	"&quot;<span class=""form_object"">alfentanil</span>&quot;"		"&quot;<span class=""form_subject"">motion sickness</span>&quot;"	"<div class=""formatted_sentence"">The frequency of PONV did not correlate to the amounts of <span class=""object_text"">alfentanil</span>, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or <span class=""subject_text"">motion sickness</span>.</div>"	false	8	68	58	alfentanil	drug	The frequency of PONV did not correlate to the amounts of alfentanil, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or motion sickness.	18037672	is_cooccurrence	195	180	motion sickness	disease
701061960	4/8/2015 02:16:34	true	1607760890		4/8/2015 01:59:46	false	elite	0.7692	30795938	VNM	44	Hanoi	113.190.236.66			is_cooccurrence	old	"&quot;<span class=""form_object"">alfentanil</span>&quot;"		"&quot;<span class=""form_subject"">motion sickness</span>&quot;"	"<div class=""formatted_sentence"">The frequency of PONV did not correlate to the amounts of <span class=""object_text"">alfentanil</span>, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or <span class=""subject_text"">motion sickness</span>.</div>"	false	8	68	58	alfentanil	drug	The frequency of PONV did not correlate to the amounts of alfentanil, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or motion sickness.	18037672	is_cooccurrence	195	180	motion sickness	disease
