unit_id	toby_broad_reltype	toby_deep_sem
698757970	positive	no_further_info
698757972	false	empty
698757975	false	empty
698757976	false	empty
698757977	false	empty
698757978	positive	used_to_treat
698757979	positive	used_to_treat
698757980	positive	used_to_treat
698757981	positive	used_to_treat
698757982	positive	used_to_treat
698757983	positive	used_to_treat
698757984	false	empty
698757985	positive	used_to_treat
698757986	false	empty
698757987	false	empty
698757988	false	empty
698757989	false	empty
698757990	positive	may_cause
698757991	false	empty
698757992	positive	may_cause
698757993	positive	used_to_treat
698757994	positive	used_to_treat
698757996	positive	used_to_treat
698757997	positive	used_to_treat
698757998	positive	used_to_treat
698757999	speculative	may_cause
698758000	positive	other
698758002	positive	used_to_treat
698758003	positive	used_to_treat
698758004	positive	may_cause
698758005	false	empty
698758006	negative	empty
698758008	positive	may_cause
698758009	positive	may_cause
698758010	positive	may_cause
698758011	false	empty
698758012	positive	may_cause
698758013	positive	used_to_treat
698758014	false	empty
698758015	positive	may_cause
698758016	positive	may_cause
698758017	false	empty
698758018	false	empty
698758020	positive	used_to_treat
698758022	positive	used_to_treat
698758023	false	empty
698758024	false	empty
698758025	false	empty
698758026	speculative	may_cause
698758027	speculative	may_cause
698758028	positive	may_cause
698936313	positive	may_cause
698936583	positive	used_to_treat
698936792	positive	used_to_treat
698937471	positive	may_cause
698937671	positive	may_cause
698937904	false	empty
698939052	false	empty
698939741	speculative	may_cause
698942095	negative	empty
698942663	false	empty
